CompanyName	Value(1000s)	Shares	OrderType
YANZHOU COAL MNG CO LTD	3	437	Market
YELP INC	26634	698514	Market
YORK WTR CO	15968	418005	Market
YPF SOCIEDAD ANONIMA	15434	935413	Market
YRC WORLDWIDE INC	14172	1067144	Market
YUM BRANDS INC	307994	4863326	Market
YUM CHINA HLDGS INC	203299	7783261	Market
YUMA ENERGY INC NEW	2	729	Market
YUME INC	212	59321	Market
YY INC	16935	429606	Market
ZAFGEN INC	2319	729293	Market
ZAGG INC	6445	907781	Market
ZAIS GROUP HLDGS INC	1	855	Market
ZAYO GROUP HLDGS INC	79509	2419633	Market
ZEBRA TECHNOLOGIES CORP	174445	2034107	Market
ZEDGE INC	40	12854	Market
ZELTIQ AESTHETICS INC	124772	2866997	Market
ZENDESK INC	54095	2551658	Market
ZHAOPIN LTD	25	1647	Market
ZILLOW GROUP INC	19720	541027	Market
ZILLOW GROUP INC	45313	1242469	Market
ZIMMER BIOMET HLDGS INC	407800	3951549	Market
ZION OIL & GAS INC	237	172945	Market
ZIONS BANCORPORATION	162815	3782867	Market
ZIOPHARM ONCOLOGY INC	19377	3621895	Market
ZIX CORP	8525	1725661	Market
ZOES KITCHEN INC	14609	608954	Market
ZOETIS INC	490228	9158013	Market
ZOGENIX INC	14139	1163742	Market
ZOSANO PHARMA CORP	2	2371	Market
ZUMIEZ INC	30778	1408627	Market
ZYNERBA PHARMACEUTICALS INC	306	19623	Market
ZYNGA INC	22288	8672285	Market
